"Household final consumption expenditure, quarterly, Canada (x 1,000,000) 1"
"Frequency: Quarterly"
"Table: 36-10-0107-01 (formerly CANSIM 380-0067)"
"Release date: 2023-05-31"
"Geography: Canada"
""
""

"Prices","Chained (2012) dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seasonal adjustment","Seasonally adjusted at annual rates",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography","Canada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates","Q1 1961","Q2 1961","Q3 1961","Q4 1961","Q1 1962","Q2 1962","Q3 1962","Q4 1962","Q1 1963","Q2 1963","Q3 1963","Q4 1963","Q1 1964","Q2 1964","Q3 1964","Q4 1964","Q1 1965","Q2 1965","Q3 1965","Q4 1965","Q1 1966","Q2 1966","Q3 1966","Q4 1966","Q1 1967","Q2 1967","Q3 1967","Q4 1967","Q1 1968","Q2 1968","Q3 1968","Q4 1968","Q1 1969","Q2 1969","Q3 1969","Q4 1969","Q1 1970","Q2 1970","Q3 1970","Q4 1970","Q1 1971","Q2 1971","Q3 1971","Q4 1971","Q1 1972","Q2 1972","Q3 1972","Q4 1972","Q1 1973","Q2 1973","Q3 1973","Q4 1973","Q1 1974","Q2 1974","Q3 1974","Q4 1974","Q1 1975","Q2 1975","Q3 1975","Q4 1975","Q1 1976","Q2 1976","Q3 1976","Q4 1976","Q1 1977","Q2 1977","Q3 1977","Q4 1977","Q1 1978","Q2 1978","Q3 1978","Q4 1978","Q1 1979","Q2 1979","Q3 1979","Q4 1979","Q1 1980","Q2 1980","Q3 1980","Q4 1980","Q1 1981","Q2 1981","Q3 1981","Q4 1981","Q1 1982","Q2 1982","Q3 1982","Q4 1982","Q1 1983","Q2 1983","Q3 1983","Q4 1983","Q1 1984","Q2 1984","Q3 1984","Q4 1984","Q1 1985","Q2 1985","Q3 1985","Q4 1985","Q1 1986","Q2 1986","Q3 1986","Q4 1986","Q1 1987","Q2 1987","Q3 1987","Q4 1987","Q1 1988","Q2 1988","Q3 1988","Q4 1988","Q1 1989","Q2 1989","Q3 1989","Q4 1989","Q1 1990","Q2 1990","Q3 1990","Q4 1990","Q1 1991","Q2 1991","Q3 1991","Q4 1991","Q1 1992","Q2 1992","Q3 1992","Q4 1992","Q1 1993","Q2 1993","Q3 1993","Q4 1993","Q1 1994","Q2 1994","Q3 1994","Q4 1994","Q1 1995","Q2 1995","Q3 1995","Q4 1995","Q1 1996","Q2 1996","Q3 1996","Q4 1996","Q1 1997","Q2 1997","Q3 1997","Q4 1997","Q1 1998","Q2 1998","Q3 1998","Q4 1998","Q1 1999","Q2 1999","Q3 1999","Q4 1999","Q1 2000","Q2 2000","Q3 2000","Q4 2000","Q1 2001","Q2 2001","Q3 2001","Q4 2001","Q1 2002","Q2 2002","Q3 2002","Q4 2002","Q1 2003","Q2 2003","Q3 2003","Q4 2003","Q1 2004","Q2 2004","Q3 2004","Q4 2004","Q1 2005","Q2 2005","Q3 2005","Q4 2005","Q1 2006","Q2 2006","Q3 2006","Q4 2006","Q1 2007","Q2 2007","Q3 2007","Q4 2007","Q1 2008","Q2 2008","Q3 2008","Q4 2008","Q1 2009","Q2 2009","Q3 2009","Q4 2009","Q1 2010","Q2 2010","Q3 2010","Q4 2010","Q1 2011","Q2 2011","Q3 2011","Q4 2011","Q1 2012","Q2 2012","Q3 2012","Q4 2012","Q1 2013","Q2 2013","Q3 2013","Q4 2013","Q1 2014","Q2 2014","Q3 2014","Q4 2014","Q1 2015","Q2 2015","Q3 2015","Q4 2015","Q1 2016","Q2 2016","Q3 2016","Q4 2016","Q1 2017","Q2 2017","Q3 2017","Q4 2017","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023"
"Accommodation services  [C222]","2,154","2,190","2,296","2,366","2,296","2,366","2,401","2,296","2,437","2,366","2,331","2,410","2,507","2,552","2,516","2,622","2,684","2,728","2,799","2,728","2,869","2,940","2,914","3,055","2,914","2,949","3,523","3,028","2,922","3,028","3,170","3,249","3,178","3,143","3,426","3,505","3,355","3,364","3,328","3,611","3,328","3,328","3,328","3,604","3,754","3,829","3,710","3,735","3,816","3,867","3,948","3,979","4,104","4,186","4,142","4,179","4,129","4,111","4,192","4,179","4,486","4,505","4,617","4,548","4,555","4,649","4,774","4,861","4,786","4,818","5,043","5,105","5,055","5,124","5,199","5,368","5,449","5,406","5,274","5,249","5,268","5,224","5,235","5,180","5,103","5,048","4,872","4,520","4,487","4,795","5,081","4,751","5,246","4,960","4,883","5,125","5,268","4,960","4,960","4,993","4,928","4,943","5,288","5,012","5,027","5,058","5,204","5,311","5,503","5,617","5,625","5,840","5,916","5,955","5,947","6,108","6,384","6,300","6,307","6,338","6,231","6,200","6,315","6,315","6,361","6,342","6,203","6,323","6,600","6,676","6,669","6,701","6,789","6,820","6,928","6,883","6,739","6,751","6,946","6,814","6,814","6,984","6,972","7,104","7,135","7,256","7,212","7,322","7,536","7,316","7,421","7,569","7,585","7,443","7,410","7,432","7,552","7,563","7,678","7,728","7,755","7,722","7,613","7,695","7,879","8,020","8,030","7,898","8,020","7,592","7,748","8,015","8,077","8,152","8,171","8,241","8,406","8,481","8,617","8,735","8,805","8,819","8,838","8,937","8,949","9,041","9,147","9,142","9,100","9,126","9,121","8,991","8,877","8,759","8,915","8,906","9,117","9,244","9,290","9,340","9,408","9,581","9,631","9,707","9,668","9,724","9,696","9,744","9,808","9,928","10,008","9,972","10,016","10,120","10,164","10,212","10,120","10,172","10,168","10,112","10,228","10,416","10,732","10,808","10,764","10,916","11,156","11,204","11,220","11,396","11,640","11,716","11,856","12,148","12,392","12,692","11,548","5,032","8,164","8,000","8,244","8,048","10,164","11,060","10,804","12,296","12,580","12,700","12,940"
"Insurance and financial services  [C23]","8,342","8,342","8,460","8,812","8,695","8,688","8,856","9,055","9,040","9,459","9,407","9,598","9,672","9,679","9,818","9,782","10,098","10,244","10,149","10,501","10,568","10,523","10,920","10,971","11,221","11,478","11,530","11,654","11,904","12,073","12,602","12,984","12,954","13,549","13,468","13,593","13,321","13,571","13,762","13,857","13,696","13,812","14,163","14,114","14,560","14,867","15,072","15,392","15,811","15,811","16,167","16,296","16,439","16,594","16,684","16,586","16,960","16,995","16,951","16,991","17,400","17,752","18,233","18,540","18,830","19,213","19,662","19,840","19,996","20,490","20,847","20,833","21,216","22,454","22,703","22,846","23,607","23,024","23,523","23,661","23,389","23,893","23,413","22,604","22,839","22,718","22,842","22,942","23,128","23,404","23,330","23,618","23,802","23,861","24,732","25,367","25,463","26,005","26,932","27,625","27,985","29,160","29,404","29,872","31,763","31,721","32,038","32,715","31,245","32,172","32,518","32,794","33,173","33,583","34,403","34,588","34,360","34,757","34,922","35,039","35,478","35,946","36,386","36,560","37,288","37,383","38,163","38,270","38,785","39,568","40,479","41,458","43,075","42,883","43,246","42,978","43,737","44,343","44,950","45,058","46,842","47,123","47,435","48,923","50,541","50,315","50,551","51,238","51,650","52,347","53,325","53,909","54,166","54,818","55,289","55,751","56,455","56,891","57,291","57,363","57,588","57,907","58,729","59,713","61,207","61,399","61,401","61,594","61,336","61,660","62,150","63,059","64,149","65,288","65,943","66,925","67,884","68,656","69,632","70,569","71,449","71,808","72,409","74,473","76,840","77,467","77,389","78,112","79,018","78,473","78,441","75,119","74,061","75,316","76,738","77,804","78,783","80,422","81,751","82,451","83,922","84,561","84,015","83,689","83,793","84,003","84,673","85,443","86,391","87,264","87,594","88,181","89,810","91,485","92,299","93,442","95,218","96,468","96,493","97,389","98,374","100,068","101,186","101,834","103,415","104,449","105,867","108,523","109,399","110,211","110,473","110,683","112,267","113,734","114,580","115,398","115,594","116,254","116,779","119,656","122,281","125,810","127,810","128,080","129,736","128,243","126,113","124,948","124,753"
"Insurance  [C231]","3,352","3,352","3,402","3,501","3,501","3,551","3,551","3,594","3,601","3,694","3,718","3,737","3,737","3,731","3,836","3,880","4,004","4,060","4,103","4,178","4,277","4,296","4,426","4,451","4,457","4,550","4,532","4,550","4,581","4,681","4,755","4,854","4,879","4,929","5,022","5,072","4,966","5,239","5,246","5,345","5,239","5,387","5,518","5,616","5,563","5,718","5,649","5,731","5,882","5,960","5,976","6,046","5,997","6,181","6,238","6,340","6,336","6,484","6,529","6,615","6,676","6,733","6,844","6,934","7,061","7,102","7,368","7,454","7,601","7,658","7,785","7,757","7,765","7,978","7,965","8,088","8,187","8,428","8,473","8,522","8,559","8,724","8,766","8,767","8,617","8,622","8,729","8,853","8,956","9,054","9,099","9,323","9,464","9,554","9,751","9,887","9,992","10,095","10,340","10,612","10,716","10,907","11,107","11,255","11,404","11,550","11,770","11,833","11,922","12,186","12,392","12,479","12,449","12,491","12,644","12,682","12,741","12,873","12,856","12,836","12,943","13,158","13,253","13,372","13,889","13,931","14,101","14,082","14,087","14,334","14,606","14,788","14,897","15,068","15,166","15,316","15,451","15,582","15,714","15,956","16,035","16,026","16,107","16,283","16,574","16,531","16,702","16,736","16,666","16,718","16,900","17,137","17,129","17,285","17,302","17,584","17,619","17,675","17,635","17,621","17,719","17,872","17,996","18,098","18,185","18,330","18,440","18,613","18,741","18,921","18,998","19,268","19,311","19,464","19,538","19,657","19,797","19,866","19,909","20,073","20,171","20,235","20,256","20,422","20,651","20,794","20,993","21,104","21,203","21,273","21,339","21,619","21,617","21,835","21,981","22,054","22,156","22,403","22,661","22,836","22,830","23,088","23,282","23,526","23,869","24,016","24,212","24,360","24,600","24,839","25,015","25,007","25,185","25,326","25,482","25,551","25,574","25,779","25,883","26,026","25,999","26,543","26,858","26,991","27,414","27,805","27,923","28,120","28,421","28,721","28,511","28,547","28,591","29,001","29,107","29,370","29,191","29,449","29,549","29,675","29,748","29,725","29,783","29,588","29,805","29,904","29,797","29,862","29,838"
"Financial services indirectly measured  [C232]","3,036","2,943","3,000","3,108","3,108","3,137","3,274","3,339","3,310","3,534","3,447","3,556","3,613","3,664","3,678","3,606","3,642","3,721","3,707","3,844","3,815","3,786","3,945","3,945","4,226","4,262","4,183","4,399","4,623","4,544","4,767","4,919","4,904","5,077","5,265","5,222","5,323","5,315","5,409","5,402","5,380","5,333","5,491","5,380","5,664","5,818","5,972","6,102","6,401","6,425","6,567","6,515","6,764","6,894","7,004","6,843","7,020","6,965","6,933","6,906","7,107","7,296","7,635","7,828","7,923","8,124","8,238","8,199","8,250","8,478","8,664","8,624","8,778","9,440","9,582","9,460","9,440","9,409","9,349","9,472","9,381","9,431","9,170","8,848","9,362","9,295","9,125","8,868","8,781","8,799","8,772","8,839","8,790","8,839","9,165","9,509","9,364","9,580","9,715","9,702","9,754","10,270","10,316","10,484","10,951","11,055","11,097","11,609","11,319","11,685","12,029","12,147","12,532","12,783","13,001","13,086","13,041","13,201","13,325","13,325","13,264","13,326","13,403","13,318","13,287","13,350","13,467","13,574","13,555","13,569","13,701","13,708","14,083","14,479","14,450","14,289","14,791","14,889","14,953","14,788","15,258","15,525","15,553","15,409","15,910","15,942","15,643","15,628","15,724","16,088","16,478","16,437","16,465","16,583","16,807","16,751","16,888","17,113","17,361","17,275","17,441","17,474","17,795","17,988","18,163","18,367","18,650","18,853","18,981","19,180","19,352","19,462","19,550","19,726","19,894","20,021","20,061","20,157","20,397","20,542","20,829","20,953","21,046","21,516","21,705","21,935","21,729","21,886","22,405","22,993","22,129","21,392","22,156","22,448","22,571","22,334","23,439","23,796","23,956","23,761","24,296","25,055","24,628","24,028","23,477","23,844","23,988","23,954","24,306","24,417","24,034","24,166","24,499","24,931","24,723","24,827","25,207","25,759","25,635","25,548","26,154","26,437","25,976","26,243","26,555","26,430","27,187","27,636","27,508","28,062","27,793","27,687","27,936","28,116","28,336","28,632","28,889","29,527","28,829","29,106","29,426","30,177","30,509","30,129","30,649","30,552","29,822","28,829","27,853"
"Other financial services  [C233]","1,759","1,879","1,879","2,039","1,879","1,759","1,789","1,899","1,909","2,019","2,019","2,099","2,109","2,059","2,059","2,049","2,239","2,239","2,069","2,219","2,219","2,159","2,269","2,309","2,229","2,369","2,589","2,419","2,399","2,589","2,869","3,009","2,949","3,399","2,869","3,049","2,679","2,639","2,739","2,739","2,699","2,712","2,749","2,712","2,962","2,925","3,075","3,188","3,081","2,925","3,181","3,325","3,219","2,956","2,818","2,793","3,025","2,956","2,893","2,862","3,025","3,138","3,144","3,144","3,194","3,375","3,401","3,557","3,457","3,726","3,751","3,833","4,133","4,565","4,722","4,897","5,736","4,697","5,323","5,273","5,010","5,352","5,037","4,428","4,283","4,211","4,426","4,709","4,916","5,107","4,993","4,960","5,072","4,958","5,332","5,475","5,637","5,873","6,507","7,033","7,270","7,743","7,725","7,878","9,308","8,957","9,017","9,061","7,637","7,929","7,629","7,692","7,664","7,773","8,254","8,314","8,047","8,147","8,207","8,364","8,808","9,010","9,303","9,466","9,745","9,728","10,251","10,257","10,830","11,388","11,909","12,733","13,918","13,114","13,415","13,148","13,267","13,649","14,064","14,089","15,333","15,356","15,558","17,028","17,872","17,651","18,024","18,718","19,118","19,401","19,812","20,203","20,448","20,832","21,068","21,298","21,842","22,001","22,202","22,371","22,333","22,466","22,840","23,528","24,761","24,605","24,221","24,038","23,520","23,460","23,702","24,233","25,202","26,018","26,437","27,182","27,972","28,593","29,297","29,932","30,431","30,604","31,100","32,554","34,532","34,787","34,711","35,170","35,461","34,236","35,009","32,076","30,159","30,912","32,082","33,363","33,102","34,152","35,077","35,816","36,747","36,344","36,047","36,113","36,454","36,142","36,473","37,123","37,482","38,002","38,538","38,989","40,094","41,183","42,045","43,005","44,359","44,863","44,902","45,726","46,144","47,004","48,232","48,482","49,323","50,075","50,634","52,640","53,329","53,302","54,020","54,291","55,564","56,431","56,948","57,211","57,335","57,109","58,206","60,670","62,902","65,717","67,324","68,151","69,077","67,591","66,284","65,999","66,742"
"Miscellaneous goods and services  [C24]","8,077","8,204","8,324","8,661","8,826","8,826","8,736","8,863","8,923","9,297","9,417","9,454","9,641","9,709","10,016","10,121","10,195","10,413","10,779","10,869","11,101","11,311","11,348","10,824","11,573","11,565","11,625","11,737","11,663","11,760","11,910","11,962","12,366","12,359","12,419","12,666","12,591","12,464","12,853","13,422","13,190","13,357","13,541","13,944","14,122","14,525","14,766","14,693","15,065","15,468","15,746","16,018","16,647","16,940","16,715","16,558","16,909","17,019","17,165","17,527","17,642","18,061","18,407","18,805","18,863","19,334","19,449","20,094","20,099","19,805","19,858","19,921","19,779","19,900","20,769","20,764","20,408","20,120","21,105","20,869","20,785","21,185","20,840","22,372","21,653","21,861","21,828","22,126","22,493","22,448","22,666","22,861","23,053","23,378","23,690","24,113","24,519","24,831","25,438","25,960","26,267","26,768","27,009","27,211","26,958","27,025","27,435","27,916","27,610","28,063","28,478","28,750","28,873","28,977","29,051","29,292","29,527","29,178","29,457","29,263","28,844","29,213","29,230","29,615","29,455","29,578","29,620","29,829","30,192","30,105","30,102","30,363","30,904","31,142","31,586","31,861","32,153","32,399","32,589","32,524","32,977","33,219","33,484","33,800","33,926","33,942","34,403","34,440","35,208","35,475","35,667","35,728","36,438","36,530","36,874","37,155","37,397","37,519","37,987","38,477","38,627","38,912","39,099","39,543","40,590","40,861","40,941","40,914","41,346","41,736","41,997","42,390","43,204","43,330","43,570","43,857","44,381","44,830","45,207","45,718","46,473","46,936","47,146","47,340","47,916","48,488","49,100","49,387","49,750","50,159","50,245","49,807","49,560","49,798","49,941","49,943","50,113","50,541","50,516","50,670","51,127","51,123","51,188","51,288","51,500","51,584","51,800","52,140","52,224","52,640","53,184","53,449","53,697","54,177","54,583","54,870","54,949","55,280","55,744","55,685","55,751","56,081","56,654","56,902","57,151","58,101","58,121","58,786","58,925","59,241","60,009","60,456","61,055","61,629","61,560","61,606","60,145","47,343","57,525","57,748","56,616","56,197","61,455","62,213","62,838","64,698","63,987","64,204","64,466"
"Personal care  [C241]","3,213","3,244","3,219","3,325","3,437","3,387","3,406","3,593","3,599","3,712","3,718","3,712","3,811","3,843","3,999","4,061","4,092","4,198","4,354","4,342","4,666","4,766","4,728","4,323","4,878","4,822","4,872","5,015","4,972","5,034","5,128","5,090","5,296","5,209","5,190","5,440","5,215","5,196","5,371","5,689","5,652","5,656","5,773","5,992","6,005","6,082","6,171","6,144","6,332","6,525","6,529","6,650","7,049","7,040","6,959","6,798","6,883","6,919","7,004","7,098","7,094","7,192","7,322","7,416","7,452","7,528","7,658","7,792","7,815","7,882","7,886","7,837","7,855","7,886","7,882","7,967","8,231","8,370","8,567","8,670","8,688","8,689","8,705","8,805","8,797","8,788","8,738","8,754","8,913","8,895","9,021","8,995","9,105","9,221","9,363","9,602","9,899","10,067","10,426","10,658","10,774","10,941","11,074","11,054","10,926","11,053","11,193","11,425","11,461","11,789","12,089","12,222","12,230","12,309","12,323","12,287","12,476","12,419","12,495","12,202","12,156","12,153","12,139","12,395","12,331","12,511","12,437","12,533","12,732","12,654","12,653","12,616","12,833","13,011","13,294","13,393","13,447","13,449","13,556","13,630","13,865","13,920","13,962","14,066","14,180","14,210","14,473","14,448","14,710","14,912","14,953","14,918","15,152","15,241","15,363","15,463","15,560","15,727","15,939","16,146","16,254","16,399","16,484","16,613","17,283","17,444","17,541","17,522","17,746","18,080","18,231","18,457","18,902","19,063","19,255","19,411","19,571","19,787","20,023","20,190","20,547","20,797","20,898","21,064","21,327","21,621","21,999","22,234","22,216","22,415","22,454","22,260","22,081","22,219","22,223","22,120","22,085","22,325","22,308","22,325","22,449","22,421","22,537","22,499","22,472","22,504","22,576","22,720","22,754","23,020","23,326","23,362","23,507","23,779","23,911","23,996","24,103","24,266","24,615","24,436","24,620","24,702","24,900","25,047","24,954","25,525","25,680","26,191","25,918","25,816","26,145","26,440","26,969","27,310","27,318","27,281","26,893","22,423","27,005","26,079","25,710","25,531","28,377","28,444","28,681","30,283","29,941","30,098","29,651"
"Personal effects  [C242]","877","911","927","927","993","1,043","1,010","1,010","989","1,018","1,035","1,047","1,097","1,064","1,076","1,113","1,113","1,113","1,196","1,221","1,192","1,188","1,184","1,208","1,221","1,254","1,254","1,233","1,221","1,242","1,275","1,271","1,353","1,370","1,391","1,333","1,386","1,357","1,386","1,453","1,420","1,455","1,506","1,597","1,581","1,748","1,835","1,790","1,893","1,925","2,050","2,092","2,195","2,266","2,247","2,269","2,385","2,417","2,524","2,598","2,688","2,852","2,952","3,068","3,019","3,122","3,081","3,425","3,351","3,132","3,177","3,167","3,003","2,891","3,383","3,225","2,829","2,379","2,669","2,649","2,646","2,892","2,641","3,510","2,955","3,021","3,011","3,103","3,148","3,122","3,158","3,282","3,252","3,409","3,480","3,536","3,528","3,624","3,757","3,892","3,864","4,038","4,098","4,158","4,008","3,923","3,966","4,182","3,951","3,982","4,029","4,137","4,167","4,168","4,179","4,246","4,271","4,156","4,234","4,263","4,008","4,125","4,187","4,229","4,102","4,033","4,051","4,102","4,196","4,231","4,192","4,294","4,354","4,354","4,406","4,435","4,490","4,563","4,572","4,451","4,551","4,589","4,714","4,753","4,748","4,821","4,981","5,039","5,198","5,171","5,171","5,135","5,379","5,336","5,393","5,490","5,585","5,520","5,647","5,787","5,835","5,829","5,693","5,825","5,994","6,102","6,047","6,048","6,145","6,125","6,175","6,230","6,392","6,411","6,370","6,380","6,386","6,544","6,562","6,696","6,952","7,078","6,990","6,848","6,990","7,150","7,215","7,140","7,232","7,364","7,341","7,012","6,807","6,766","6,794","6,739","6,819","6,832","6,786","6,889","6,879","6,884","6,847","6,920","6,932","6,896","6,856","6,892","6,700","6,748","6,820","6,923","6,950","6,937","7,009","7,085","7,226","7,342","7,410","7,274","7,249","7,289","7,564","7,612","7,749","7,956","7,705","7,647","7,797","8,019","8,208","8,074","8,014","8,129","7,890","7,978","7,198","4,643","7,722","7,474","7,354","6,919","8,472","8,411","8,612","8,821","8,330","8,253","8,712"
"Social services  [C243]","1,387","1,387","1,439","1,696","1,490","1,593","1,747","1,747","1,747","1,850","1,901","1,786","1,837","2,004","2,055","1,991","2,107","2,094","2,210","2,107","2,197","2,197","2,312","2,261","2,312","2,300","2,300","2,364","2,415","2,402","2,364","2,608","2,467","2,492","2,608","2,518","2,749","2,698","2,826","2,839","2,852","2,887","2,922","2,958","3,028","3,134","3,125","3,195","3,222","3,327","3,327","3,362","3,310","3,301","3,257","3,274","3,345","3,345","3,327","3,433","3,389","3,389","3,521","3,688","3,952","4,102","4,304","4,339","4,331","4,269","4,269","4,463","4,524","4,718","4,832","5,017","5,052","5,096","5,246","5,449","5,607","5,681","5,783","5,986","6,023","6,138","6,138","6,203","6,357","6,413","6,477","6,436","6,498","6,509","6,559","6,660","6,776","6,900","6,999","7,038","7,140","7,226","7,236","7,294","7,338","7,272","7,379","7,341","7,360","7,342","7,306","7,309","7,319","7,348","7,365","7,375","7,431","7,317","7,364","7,450","7,326","7,480","7,499","7,469","7,440","7,421","7,434","7,489","7,407","7,421","7,474","7,563","7,678","7,805","7,939","8,014","8,181","8,249","8,316","8,383","8,543","8,678","8,691","8,753","8,678","8,689","8,701","8,718","8,843","8,943","9,027","9,109","9,215","9,335","9,434","9,513","9,541","9,576","9,638","9,695","9,753","9,829","9,929","10,015","10,083","10,142","10,170","10,175","10,148","10,153","10,154","10,171","10,276","10,310","10,373","10,452","10,539","10,587","10,609","10,682","10,726","10,798","10,861","10,943","11,038","11,195","11,237","11,314","11,404","11,447","11,481","11,536","11,656","11,680","11,699","11,694","11,779","11,822","11,875","11,983","12,037","12,103","12,136","12,184","12,272","12,332","12,444","12,532","12,588","12,640","12,688","12,760","12,832","12,916","12,997","13,045","13,081","13,145","13,209","13,301","13,393","13,485","13,605","13,701","13,817","13,961","14,097","14,232","14,467","14,675","14,814","14,978","15,086","15,182","15,289","15,377","15,106","10,496","12,579","13,449","12,787","12,949","13,934","14,407","14,499","14,696","14,927","15,093","15,226"
"Other services  [C244]","3,203","3,255","3,413","3,518","3,570","3,413","3,150","2,993","3,150","3,360","3,465","3,623","3,518","3,531","3,623","3,636","3,584","3,741","3,689","3,899","3,649","3,794","3,846","3,754","3,807","3,820","3,820","3,715","3,675","3,675","3,662","3,610","3,767","3,846","3,820","3,990","3,925","3,885","3,977","4,095","3,885","4,012","3,917","3,893","4,107","4,083","4,083","4,059","4,028","4,122","4,225","4,288","4,359","4,636","4,517","4,494","4,525","4,549","4,391","4,494","4,501","4,580","4,525","4,525","4,375","4,541","4,383","4,351","4,478","4,446","4,446","4,422","4,478","4,636","4,715","4,707","4,612","5,023","5,267","4,604","4,304","4,239","4,175","4,136","4,200","4,252","4,303","4,444","4,456","4,415","4,386","4,505","4,585","4,557","4,583","4,585","4,572","4,455","4,403","4,480","4,642","4,678","4,688","4,815","4,868","4,969","5,113","5,085","5,004","5,085","5,148","5,136","5,217","5,209","5,246","5,467","5,412","5,347","5,421","5,447","5,485","5,612","5,548","5,639","5,732","5,758","5,864","5,864","5,989","5,929","5,923","6,047","6,206","6,133","6,093","6,172","6,199","6,316","6,322","6,238","6,185","6,211","6,297","6,414","6,496","6,387","6,393","6,381","6,612","6,597","6,676","6,742","6,868","6,793","6,863","6,869","6,887","6,862","6,921","7,001","6,931","7,002","7,151","7,252","7,353","7,287","7,292","7,282","7,406","7,457","7,509","7,595","7,682","7,584","7,605","7,646","7,920","7,943","8,035","8,175","8,267","8,281","8,410","8,492","8,569","8,532","8,651","8,696","8,899","8,935","8,972","8,994","9,013","9,127","9,220","9,386","9,430","9,559","9,545","9,475","9,760","9,714","9,668","9,685","9,824","9,852","9,924","9,996","10,184","10,236","10,356","10,408","10,412","10,552","10,672","10,748","10,548","10,540","10,532","10,684","10,508","10,620","10,600","10,560","10,637","10,681","10,662","10,750","10,754","10,730","10,846","10,966","11,006","11,038","11,082","10,986","10,954","9,887","10,433","10,809","10,855","10,871","10,835","11,075","11,171","11,107","10,987","10,963","11,051"
"Net expenditure abroad  [C25]","-745","-1,036","-1,066","-1,223","-2,071","-2,242","-2,641","-2,809","-3,198","-2,986","-2,895","-3,271","-2,825","-2,617","-2,696","-2,946","-3,291","-2,696","-3,189","-2,730","-3,275","-2,592","-2,841","-3,522","-4,235","-8,848","-11,632","-4,643","-3,427","-3,824","-2,974","-2,331","-2,266","-2,279","-2,397","-2,883","-3,223","-2,567","-1,700","-3,837","-4,412","-2,153","-1,782","-2,881","-2,811","-2,197","-1,691","-2,637","-2,586","-2,594","-2,595","-1,975","-2,392","-2,453","-2,083","-1,491","-571","-1,033","-460","425","1,059","1,927","1,480","2,437","2,881","1,846","2,869","1,237","1,697","1,151","504","-1,137","-1,028","-3,499","-3,814","-2,995","-3,712","-3,618","-2,552","-2,244","-3,257","-3,501","-3,194","-2,440","-1,020","-2,028","-2,708","-2,232","-1,215","-496","-277","720","-992","-1,200","-2,187","-1,263","-1,863","-2,289","-2,250","-3,052","-3,188","-4,850","-7,467","-3,445","-1,904","-2,965","-2,472","-1,940","-3,060","-1,159","-1,165","-1,307","-763","753","1,389","2,500","4,364","2,696","4,481","5,545","3,302","4,881","5,551","8,625","5,588","4,636","4,753","3,024","2,559","2,249","1,715","1,000","-647","-1,784","-4,170","-4,000","-4,717","-4,109","-3,823","-4,878","-3,469","-5,587","-5,502","-4,895","-4,006","-5,372","-4,878","-5,938","-6,766","-8,554","-10,537","-11,214","-10,691","-9,387","-9,869","-9,599","-10,189","-9,899","-9,764","-9,729","-9,898","-10,866","-9,534","-10,851","-12,513","-9,682","-9,888","-10,971","-8,834","-4,610","-3,878","-3,760","-4,742","-5,999","-5,867","-5,148","-2,672","-2,078","-1,291","166","1,543","1,271","2,160","3,259","2,208","3,638","6,437","11,652","9,651","8,793","8,028","5,780","6,234","8,365","10,419","11,137","12,318","15,160","14,031","16,309","16,571","16,138","15,960","15,411","16,444","17,000","18,320","17,804","17,120","17,156","16,560","15,956","15,176","13,992","14,080","14,424","13,172","11,656","11,156","11,372","7,084","7,384","8,064","8,420","7,108","7,392","9,460","7,652","7,256","6,932","6,328","4,092","4,160","1,128","2,644","6,328","15,716","-10,896","-8,604","-7,212","-7,256","-8,512","-6,188","-5,836","-3,004","240","3,556","-300","1,504"
